Date,Open,High,Low,Close,Adj Close,Volume
2023-06-28,84.030327,85.690346,83.774940,85.434959,85.211884,6009012
2023-06-29,84.772545,86.057465,84.628891,85.985634,85.761124,4070746
2023-06-30,86.983238,87.996811,86.671989,87.669594,87.440697,9250648
2023-07-03,87.039108,87.254585,85.642456,86.416603,86.190971,3723916
2023-07-05,86.368713,86.983238,86.001595,86.711891,86.485497,4588235
2023-07-06,86.201118,86.791702,85.283318,85.690346,85.466614,4594375
2023-07-07,85.506783,86.887466,85.347168,86.408623,86.183006,4843847
2023-07-10,86.520348,88.371910,86.488426,88.212288,88.063499,5805400
2023-07-11,88.371910,89.010376,87.972862,88.762970,88.613251,4746113
2023-07-12,88.818832,89.361534,88.499603,88.747009,88.597321,5403938
2023-07-13,88.786911,89.241821,88.443733,88.810852,88.661057,3477075
2023-07-14,88.587387,88.762970,87.813248,88.012772,87.864319,3405529
2023-07-17,88.124504,89.505188,87.909019,88.699120,88.549515,4557412
2023-07-18,88.507584,89.249802,88.204308,88.635277,88.485771,4476718
2023-07-19,88.052673,88.435753,86.855545,87.701515,87.553589,5604920
2023-07-20,87.821228,89.257782,87.757385,88.778931,88.629189,5158852
2023-07-21,88.938545,89.289703,87.645653,88.052673,87.904152,10277106
2023-07-24,88.108543,88.571426,87.837189,87.988831,87.840424,6687261
2023-07-25,91.380684,94.142059,90.686356,93.503593,93.345886,21329067
2023-07-26,93.487633,93.687149,90.542702,91.556267,91.401840,9449750
2023-07-27,92.226654,93.583397,91.723862,92.114922,91.959557,7752311
2023-07-28,92.202713,92.458099,90.997604,91.292900,91.138916,5600785
2023-07-31,91.332802,91.580208,90.758179,91.173187,91.019409,5169252
2023-08-01,90.734238,91.141258,89.600960,90.359138,90.206734,6595040
2023-08-02,90.159615,90.582603,89.329613,89.361534,89.210808,5377375
2023-08-03,89.249802,90.319237,89.026337,89.672783,89.521530,4347409
2023-08-04,90.039902,90.877892,89.225861,90.231445,90.079254,6118274
2023-08-07,90.614525,91.763763,90.614525,91.564247,91.409805,4140914
2023-08-08,91.292900,91.644051,90.279327,90.622505,90.469658,4735463
2023-08-09,90.901833,90.925781,89.369514,89.521149,89.370155,3900213
